               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083778,            0.025774,            0.021185,             0.66854,             0.24872,             0.23579,            0.071243,            0.058639,            0.017876,           0.0092617,            0.070492,           0.0032787,           0.0032787
                   1,            0.060813,            0.023092,            0.010377,              0.4445,             0.64284,             0.46079,             0.15884,             0.05155,           0.0099868,            0.006447,             0.04047,           0.0065902,           0.0065902
                   2,            0.058192,             0.02118,           0.0076256,             0.50279,             0.65105,             0.56188,             0.21926,             0.04955,           0.0093208,           0.0058976,            0.010426,           0.0098797,           0.0098797
                   3,            0.052317,            0.019918,           0.0070116,             0.69378,             0.67008,             0.68176,             0.28889,            0.043808,              0.0109,           0.0054155,            0.009901,            0.009901,            0.009901
                   4,            0.048248,            0.020008,           0.0061424,             0.56853,             0.67915,             0.58148,             0.22904,            0.045985,           0.0095592,           0.0064715,            0.009901,            0.009901,            0.009901
                   5,            0.046516,            0.019657,           0.0058987,             0.71707,             0.78899,             0.75184,             0.35045,            0.041504,           0.0087212,           0.0051401,            0.009868,            0.009868,            0.009868
                   6,            0.044148,            0.019541,           0.0057276,             0.71517,             0.77298,             0.78076,             0.34875,            0.040774,           0.0083637,           0.0068158,            0.009835,            0.009835,            0.009835
                   7,            0.044435,              0.0192,           0.0049694,             0.70882,             0.73606,             0.74752,             0.34725,            0.040735,           0.0084567,           0.0054955,            0.009802,            0.009802,            0.009802
                   8,            0.042904,            0.018904,           0.0053557,             0.76645,             0.70322,              0.7664,             0.36228,            0.039802,           0.0082597,           0.0045089,            0.009769,            0.009769,            0.009769
                   9,            0.042692,             0.01905,           0.0045741,             0.70854,             0.74489,             0.72969,              0.3392,             0.04015,           0.0083924,            0.006699,            0.009736,            0.009736,            0.009736
                  10,            0.042279,             0.01847,           0.0043992,             0.72719,             0.78098,             0.77001,             0.37021,            0.039939,           0.0083507,           0.0067289,            0.009703,            0.009703,            0.009703
                  11,            0.041777,            0.019022,           0.0041049,             0.79877,             0.70104,             0.79527,               0.398,            0.039513,           0.0082273,           0.0056727,             0.00967,             0.00967,             0.00967
                  12,            0.041768,            0.018981,           0.0044713,             0.74392,              0.7386,             0.77181,             0.37625,            0.040211,           0.0084946,           0.0053718,            0.009637,            0.009637,            0.009637
                  13,            0.040638,            0.018013,           0.0038307,             0.74647,             0.73644,             0.78953,             0.35831,            0.039532,           0.0081495,           0.0071686,            0.009604,            0.009604,            0.009604
                  14,            0.040895,            0.018837,           0.0037639,              0.7369,             0.82909,              0.8421,             0.40086,            0.039433,           0.0079101,           0.0039653,            0.009571,            0.009571,            0.009571
                  15,            0.040524,            0.018304,           0.0038001,             0.68474,             0.76838,             0.77062,             0.36438,            0.039824,           0.0084511,           0.0048728,            0.009538,            0.009538,            0.009538
                  16,            0.039822,            0.018278,            0.003901,             0.74625,             0.78588,             0.81496,             0.38918,            0.039452,           0.0082016,           0.0035464,            0.009505,            0.009505,            0.009505
                  17,            0.040068,            0.018168,           0.0036664,             0.77258,             0.77507,             0.79158,             0.38689,            0.040391,           0.0080936,           0.0053314,            0.009472,            0.009472,            0.009472
                  18,            0.039606,            0.018012,           0.0037079,             0.77344,             0.79956,              0.8104,             0.39461,            0.039429,             0.00816,           0.0035758,            0.009439,            0.009439,            0.009439
                  19,            0.039657,             0.01764,           0.0036787,              0.7004,             0.82302,             0.80709,             0.38888,            0.038796,           0.0080632,            0.005323,            0.009406,            0.009406,            0.009406
                  20,            0.039524,            0.017936,           0.0033047,             0.74098,             0.77598,             0.79891,             0.39785,            0.038755,           0.0080037,           0.0047528,            0.009373,            0.009373,            0.009373
                  21,            0.038741,            0.017724,           0.0031552,             0.79305,             0.74399,             0.81628,              0.4018,            0.038457,           0.0082074,           0.0052767,             0.00934,             0.00934,             0.00934
                  22,            0.038877,             0.01817,            0.002832,             0.73876,             0.81588,             0.81485,             0.37849,            0.039148,           0.0083061,           0.0044645,            0.009307,            0.009307,            0.009307
                  23,            0.038165,            0.017561,            0.002999,             0.75641,             0.76961,             0.80043,             0.38801,             0.03902,           0.0080658,           0.0047272,            0.009274,            0.009274,            0.009274
                  24,            0.038351,            0.018001,           0.0029223,             0.78308,             0.70371,              0.7945,             0.36476,             0.04084,           0.0084644,           0.0051321,            0.009241,            0.009241,            0.009241
