               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083819,            0.025775,            0.021259,             0.70531,             0.25638,             0.29742,            0.098771,            0.058921,            0.017462,           0.0096746,            0.070492,           0.0032787,           0.0032787
                   1,            0.060423,            0.023141,            0.010301,             0.39573,             0.62875,             0.42879,             0.16321,            0.053711,            0.010171,           0.0065161,             0.04047,           0.0065902,           0.0065902
                   2,            0.058205,            0.021096,           0.0075896,             0.43497,             0.57685,             0.44083,             0.17354,            0.051928,           0.0098307,           0.0059746,            0.010426,           0.0098797,           0.0098797
                   3,            0.052426,            0.019946,           0.0070225,             0.66331,             0.67303,             0.68371,             0.29753,            0.043752,            0.010092,           0.0062767,            0.009901,            0.009901,            0.009901
                   4,            0.048063,            0.019991,           0.0060807,             0.70926,             0.70125,             0.72623,              0.2808,             0.04405,           0.0089064,           0.0047869,            0.009901,            0.009901,            0.009901
                   5,            0.046038,            0.019744,           0.0054208,             0.71248,             0.73352,             0.71651,             0.32049,            0.042334,           0.0096827,           0.0046951,            0.009868,            0.009868,            0.009868
                   6,            0.044414,            0.019617,           0.0057418,              0.7594,             0.69293,             0.75288,             0.31377,            0.043208,           0.0086619,           0.0064719,            0.009835,            0.009835,            0.009835
                   7,            0.044218,            0.019339,           0.0048858,             0.68994,             0.73588,             0.70987,             0.31139,            0.042884,           0.0087934,           0.0063972,            0.009802,            0.009802,            0.009802
                   8,             0.04307,            0.019078,           0.0053853,             0.66198,             0.77762,             0.73049,             0.32938,            0.041088,           0.0086878,           0.0042634,            0.009769,            0.009769,            0.009769
                   9,            0.042804,            0.019212,             0.00476,             0.70478,              0.7496,             0.76154,             0.36652,             0.03986,           0.0081133,           0.0062083,            0.009736,            0.009736,            0.009736
                  10,            0.042239,            0.018482,           0.0045064,             0.66994,             0.72443,             0.72501,              0.3338,            0.043196,           0.0083668,           0.0093361,            0.009703,            0.009703,            0.009703
                  11,            0.041924,            0.019101,           0.0039687,             0.74915,             0.75472,             0.78753,             0.38522,            0.039672,           0.0081431,           0.0050569,             0.00967,             0.00967,             0.00967
                  12,             0.04191,            0.019068,            0.004669,             0.67724,             0.82778,             0.80806,             0.38128,             0.03919,           0.0081102,           0.0058599,            0.009637,            0.009637,            0.009637
                  13,            0.040975,            0.017991,           0.0040238,             0.69897,             0.73527,             0.76736,             0.35177,            0.040406,            0.008508,           0.0055519,            0.009604,            0.009604,            0.009604
                  14,             0.04069,            0.018819,           0.0038025,             0.74323,             0.79227,             0.82601,             0.39109,            0.038673,           0.0079241,           0.0034402,            0.009571,            0.009571,            0.009571
                  15,            0.040318,             0.01828,           0.0036611,             0.78444,              0.7744,             0.81632,             0.38639,            0.039922,           0.0080326,            0.003934,            0.009538,            0.009538,            0.009538
                  16,            0.039876,            0.018264,           0.0036477,             0.79668,             0.73656,             0.78781,             0.37742,            0.039411,           0.0083696,           0.0038657,            0.009505,            0.009505,            0.009505
                  17,            0.040241,            0.018252,           0.0035781,             0.76276,             0.82077,             0.81181,              0.3879,            0.039387,           0.0081182,           0.0056572,            0.009472,            0.009472,            0.009472
                  18,            0.039547,            0.017827,           0.0036537,              0.7888,              0.7466,             0.80037,             0.39226,            0.039662,           0.0084341,           0.0045481,            0.009439,            0.009439,            0.009439
                  19,            0.039437,             0.01765,           0.0036475,             0.74476,             0.80639,             0.80463,             0.39293,            0.039487,           0.0081384,           0.0051661,            0.009406,            0.009406,            0.009406
