               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085231,            0.033922,            0.013827,                   0,                   0,                   0,                   0,            0.063594,            0.021442,            0.011789,              0.0874,              0.0014,              0.0014
                   1,            0.088673,            0.039226,             0.01463,                   0,                   0,                   0,                   0,            0.064081,            0.021655,            0.011606,             0.07389,           0.0028904,           0.0028904
                   2,            0.079415,            0.027504,            0.013631,                   0,                   0,                   0,                   0,            0.064183,            0.021791,            0.011438,            0.060371,            0.004371,            0.004371
                   3,            0.084772,            0.046641,            0.012506,                   0,                   0,                   0,                   0,            0.063603,            0.022416,            0.010883,            0.046842,           0.0058416,           0.0058416
                   4,            0.085517,            0.033877,            0.012881,                   0,                   0,                   0,                   0,            0.063603,            0.022416,            0.010883,            0.033302,           0.0073023,           0.0073023
                   5,            0.082376,            0.052062,            0.011999,                   0,                   0,                   0,                   0,            0.062774,            0.022624,           0.0098938,            0.019753,           0.0087532,           0.0087532
                   6,            0.075519,            0.029908,            0.010128,                   0,                   0,                   0,                   0,            0.062774,            0.022624,           0.0098938,            0.009802,            0.009802,            0.009802
                   7,            0.081977,            0.050507,            0.010721,                   0,                   0,                   0,                   0,            0.061809,            0.023147,           0.0091232,            0.009802,            0.009802,            0.009802
                   8,            0.073704,            0.028105,           0.0092433,                   0,                   0,                   0,                   0,            0.061809,            0.023147,           0.0091232,            0.009769,            0.009769,            0.009769
                   9,            0.085685,            0.057907,           0.0093173,           0.0035291,            0.076316,           0.0036138,          0.00093095,            0.060383,            0.024067,           0.0086685,            0.009736,            0.009736,            0.009736
                  10,            0.081388,            0.036101,           0.0087733,           0.0035291,            0.076316,           0.0036138,          0.00093095,            0.060383,            0.024067,           0.0086685,            0.009703,            0.009703,            0.009703
                  11,            0.076728,            0.028088,           0.0084268,           0.0071111,             0.15263,            0.013861,           0.0026246,             0.06087,            0.024041,           0.0086975,             0.00967,             0.00967,             0.00967
                  12,            0.076545,            0.034736,           0.0074017,           0.0071111,             0.15263,            0.013861,           0.0026246,             0.06087,            0.024041,           0.0086975,            0.009637,            0.009637,            0.009637
                  13,            0.075648,            0.028475,            0.007391,           0.0079037,             0.14211,            0.014254,           0.0034965,             0.06157,            0.023008,           0.0080612,            0.009604,            0.009604,            0.009604
                  14,            0.077262,            0.040971,            0.007184,           0.0079037,             0.14211,            0.014254,           0.0034965,             0.06157,            0.023008,           0.0080612,            0.009571,            0.009571,            0.009571
                  15,            0.079213,            0.029664,           0.0065519,             0.53464,            0.057895,           0.0095024,             0.00154,            0.061792,            0.021956,           0.0078278,            0.009538,            0.009538,            0.009538
                  16,            0.076323,            0.051769,           0.0048674,             0.53464,            0.057895,           0.0095024,             0.00154,            0.061792,            0.021956,           0.0078278,            0.009505,            0.009505,            0.009505
                  17,            0.077989,            0.028307,            0.005173,             0.53464,            0.057895,           0.0095024,             0.00154,            0.061792,            0.021956,           0.0078278,            0.009472,            0.009472,            0.009472
                  18,            0.077255,            0.034532,           0.0048004,             0.56218,            0.057895,            0.015623,            0.003269,            0.060613,            0.022135,            0.006868,            0.009439,            0.009439,            0.009439
                  19,             0.07398,            0.034458,           0.0044051,             0.56218,            0.057895,            0.015623,            0.003269,            0.060613,            0.022135,            0.006868,            0.009406,            0.009406,            0.009406
                  20,            0.064074,            0.034359,           0.0036852,             0.58744,            0.089474,            0.033078,           0.0049662,            0.059436,            0.022014,           0.0056458,            0.009373,            0.009373,            0.009373
                  21,            0.079809,            0.038951,           0.0047229,             0.58744,            0.089474,            0.033078,           0.0049662,            0.059436,            0.022014,           0.0056458,             0.00934,             0.00934,             0.00934
                  22,             0.07831,            0.032464,            0.003828,             0.60613,            0.073684,            0.038795,            0.006706,             0.05847,            0.021758,           0.0051689,            0.009307,            0.009307,            0.009307
                  23,            0.066868,            0.035703,           0.0031165,             0.60613,            0.073684,            0.038795,            0.006706,             0.05847,            0.021758,           0.0051689,            0.009274,            0.009274,            0.009274
                  24,            0.069879,            0.040777,           0.0027989,             0.58245,             0.12105,            0.057579,            0.013607,            0.057684,            0.022213,           0.0047218,            0.009241,            0.009241,            0.009241
                  25,            0.074665,            0.039291,           0.0028761,             0.58245,             0.12105,            0.057579,            0.013607,            0.057684,            0.022213,           0.0047218,            0.009208,            0.009208,            0.009208
                  26,            0.071348,            0.037696,           0.0028672,             0.57274,             0.11053,            0.037903,           0.0089521,            0.056382,            0.022818,           0.0043808,            0.009175,            0.009175,            0.009175
                  27,            0.078867,            0.043474,           0.0028023,             0.57274,             0.11053,            0.037903,           0.0089521,            0.056382,            0.022818,           0.0043808,            0.009142,            0.009142,            0.009142
                  28,            0.066157,            0.031629,           0.0021917,             0.57061,             0.16316,            0.055096,            0.012853,            0.054909,             0.02376,            0.003714,            0.009109,            0.009109,            0.009109
                  29,            0.074248,            0.039632,           0.0024091,             0.57061,             0.16316,            0.055096,            0.012853,            0.054909,             0.02376,            0.003714,            0.009076,            0.009076,            0.009076
                  30,            0.065409,            0.041171,           0.0026835,             0.57839,             0.14737,            0.054377,            0.011389,            0.053966,            0.022997,            0.003474,            0.009043,            0.009043,            0.009043
                  31,            0.078654,            0.045094,           0.0024867,             0.57839,             0.14737,            0.054377,            0.011389,            0.053966,            0.022997,            0.003474,             0.00901,             0.00901,             0.00901
                  32,            0.073472,            0.036465,           0.0020321,             0.53418,             0.14737,             0.01613,           0.0026384,            0.055722,            0.019941,           0.0029501,            0.008977,            0.008977,            0.008977
                  33,            0.066839,             0.02759,           0.0022578,             0.53418,             0.14737,             0.01613,           0.0026384,            0.055722,            0.019941,           0.0029501,            0.008944,            0.008944,            0.008944
                  34,            0.076261,            0.032323,           0.0017365,             0.53418,             0.14737,             0.01613,           0.0026384,            0.055722,            0.019941,           0.0029501,            0.008911,            0.008911,            0.008911
                  35,            0.073595,            0.027885,           0.0014681,             0.51864,            0.078947,           0.0073625,           0.0013301,            0.057697,             0.01812,           0.0028172,            0.008878,            0.008878,            0.008878
                  36,            0.069386,            0.031551,           0.0011848,             0.51864,            0.078947,           0.0073625,           0.0013301,            0.057697,             0.01812,           0.0028172,            0.008845,            0.008845,            0.008845
                  37,            0.078666,            0.028421,           0.0012831,             0.52437,            0.089474,           0.0075755,           0.0014607,            0.058555,             0.01691,           0.0026811,            0.008812,            0.008812,            0.008812
                  38,            0.071623,            0.026681,           0.0019689,             0.52437,            0.089474,           0.0075755,           0.0014607,            0.058555,             0.01691,           0.0026811,            0.008779,            0.008779,            0.008779
                  39,            0.072134,            0.024637,           0.0016294,             0.54228,                 0.1,            0.018637,           0.0035807,            0.058825,            0.016549,           0.0026377,            0.008746,            0.008746,            0.008746
