               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12332,             0.15491,                   0,           0.0012281,            0.014768,          0.00078356,          0.00014492,             0.11838,             0.10066,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11753,             0.15917,                   0,            0.012353,             0.13291,            0.011225,           0.0023303,             0.11009,             0.11019,                   0,            0.088299,           0.0012987,           0.0012987
                   2,             0.11354,             0.17128,                   0,             0.10203,             0.21097,             0.05178,            0.010693,             0.10607,             0.10341,                   0,            0.081996,            0.001996,            0.001996
                   3,             0.10971,             0.14142,                   0,             0.11781,             0.25738,            0.070204,            0.016398,             0.10501,             0.18897,                   0,            0.075692,            0.002692,            0.002692
                   4,             0.10516,             0.13778,                   0,             0.18386,              0.3903,             0.17982,            0.045628,            0.096407,             0.19224,                   0,            0.069387,           0.0033865,           0.0033865
                   5,             0.10153,             0.11343,                   0,             0.20284,             0.49156,              0.1865,            0.044812,            0.096814,             0.13841,                   0,             0.06308,           0.0040797,           0.0040797
                   6,            0.096002,              0.1224,                   0,             0.27082,             0.47679,             0.28214,            0.076693,            0.096403,             0.12059,                   0,            0.056771,           0.0047715,           0.0047715
                   7,            0.095059,             0.10499,                   0,             0.26175,                 0.5,             0.24704,            0.070275,             0.10083,              0.1068,                   0,            0.050462,           0.0054619,           0.0054619
                   8,            0.096231,             0.11156,                   0,             0.30316,             0.58017,             0.31836,            0.091982,             0.10274,             0.12679,                   0,            0.044151,           0.0061509,           0.0061509
                   9,            0.094172,              0.1354,                   0,             0.37257,             0.65612,             0.51781,             0.15671,            0.087231,             0.13635,                   0,            0.037839,           0.0068385,           0.0068385
                  10,             0.08879,              0.1266,                   0,             0.25958,             0.44093,             0.20423,            0.052719,             0.10033,             0.12734,                   0,            0.031525,           0.0075248,           0.0075248
                  11,            0.088161,              0.1415,                   0,             0.31405,             0.49743,             0.32571,             0.10877,             0.08215,            0.088081,                   0,             0.02521,           0.0082096,           0.0082096
                  12,            0.091025,             0.12806,                   0,             0.53169,             0.53165,             0.50422,             0.18795,            0.099694,            0.088135,                   0,            0.018893,           0.0088931,           0.0088931
                  13,            0.091492,             0.12323,                   0,             0.35806,             0.43882,             0.30463,            0.098164,             0.10096,            0.074265,                   0,            0.012575,           0.0095752,           0.0095752
                  14,            0.090826,             0.12644,                   0,             0.19136,             0.75527,             0.18252,            0.076409,            0.085455,            0.082901,                   0,           0.0098614,           0.0098614,           0.0098614
