               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12358,             0.13222,                   0,          0.00087719,            0.010549,          0.00053164,          9.0548e-05,             0.12026,            0.096779,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12162,             0.12482,                   0,           0.0070175,            0.084388,            0.016023,           0.0032926,              0.1124,             0.11235,                   0,              0.0919,          0.00089955,          0.00089955
                   2,             0.11463,             0.16534,                   0,             0.01193,             0.14346,            0.011416,           0.0021791,             0.10806,             0.11665,                   0,            0.087399,           0.0013986,           0.0013986
                   3,             0.11379,             0.16131,                   0,            0.075041,             0.18143,            0.047224,           0.0098401,             0.10694,             0.10204,                   0,            0.082897,           0.0018972,           0.0018972
                   4,              0.1074,             0.14391,                   0,             0.12467,             0.22363,            0.082596,            0.018022,             0.10248,             0.14598,                   0,            0.078395,           0.0023952,           0.0023952
                   5,             0.10321,             0.12689,                   0,             0.17695,             0.37975,             0.16158,            0.041325,             0.10181,             0.16251,                   0,            0.073893,           0.0028928,           0.0028928
                   6,             0.10188,             0.13022,                   0,             0.12078,             0.50633,             0.10466,            0.025247,            0.096288,             0.21764,                   0,             0.06939,           0.0033899,           0.0033899
                   7,            0.096712,             0.12011,                   0,             0.20582,              0.4789,             0.17792,            0.043403,            0.091699,             0.15315,                   0,            0.064886,           0.0038865,           0.0038865
                   8,            0.096848,             0.11069,                   0,             0.13823,             0.37975,             0.12418,            0.027601,            0.096248,             0.15958,                   0,            0.060383,           0.0043826,           0.0043826
                   9,            0.094924,             0.11816,                   0,              0.2765,             0.47006,             0.25781,            0.067522,            0.096326,             0.12228,                   0,            0.055878,           0.0048782,           0.0048782
                  10,            0.093662,             0.10814,                   0,             0.35304,             0.56118,             0.40664,             0.12483,            0.091851,             0.12975,                   0,            0.051373,           0.0053733,           0.0053733
                  11,            0.091649,             0.11474,                   0,             0.43533,              0.6097,             0.47337,             0.15101,            0.087526,            0.088982,                   0,            0.046868,           0.0058679,           0.0058679
                  12,            0.092552,             0.10586,                   0,             0.50952,             0.59612,             0.53107,             0.18223,            0.099686,             0.10117,                   0,            0.042362,            0.006362,            0.006362
                  13,            0.090868,             0.10961,                   0,             0.24269,             0.59564,             0.21989,            0.071734,            0.084822,            0.085533,                   0,            0.037856,           0.0068556,           0.0068556
                  14,            0.086278,             0.13236,                   0,             0.58391,             0.66245,             0.61497,             0.19422,            0.087521,             0.10857,                   0,            0.033349,           0.0073487,           0.0073487
                  15,            0.094106,            0.091777,                   0,             0.29507,             0.55485,             0.28464,            0.088008,            0.090214,            0.082481,                   0,            0.028841,           0.0078413,           0.0078413
                  16,            0.087599,             0.11013,                   0,             0.30923,             0.62025,             0.35208,             0.13598,            0.092373,             0.10712,                   0,            0.024333,           0.0083335,           0.0083335
                  17,             0.09149,             0.10771,                   0,             0.31354,             0.62025,             0.37441,             0.16611,            0.083953,            0.077248,                   0,            0.019825,           0.0088251,           0.0088251
                  18,            0.093542,            0.092097,                   0,             0.74368,             0.72574,             0.75796,             0.35023,            0.096794,            0.076744,                   0,            0.015316,           0.0093162,           0.0093162
                  19,            0.083873,             0.11726,                   0,              0.2491,             0.69831,             0.25353,            0.081256,             0.07297,            0.081161,                   0,            0.010807,           0.0098069,           0.0098069
                  20,            0.077079,             0.11477,                   0,              0.3861,             0.47257,             0.44234,             0.13758,            0.080295,             0.11007,                   0,            0.009901,            0.009901,            0.009901
                  21,            0.080979,             0.10124,                   0,             0.50334,             0.68847,              0.6201,             0.18185,            0.081034,            0.073021,                   0,            0.009901,            0.009901,            0.009901
                  22,            0.081103,             0.13129,                   0,             0.28516,             0.72785,              0.3296,             0.13012,            0.079493,             0.11573,                   0,           0.0098961,           0.0098961,           0.0098961
                  23,            0.078423,             0.11653,                   0,             0.33957,             0.61814,             0.38687,             0.16307,            0.096121,             0.10178,                   0,           0.0098911,           0.0098911,           0.0098911
                  24,            0.090548,             0.10164,                   0,             0.69619,             0.76869,             0.79705,             0.37506,            0.067957,            0.072571,                   0,           0.0098861,           0.0098861,           0.0098861
                  25,            0.076539,             0.10348,                   0,             0.35555,             0.72363,             0.38456,             0.14496,            0.081801,            0.094917,                   0,           0.0098812,           0.0098812,           0.0098812
                  26,            0.091692,            0.096814,                   0,             0.57257,             0.62869,             0.56565,             0.19005,            0.082184,            0.076782,                   0,           0.0098763,           0.0098763,           0.0098763
                  27,            0.079933,            0.093396,                   0,             0.34054,             0.63924,             0.38242,              0.1222,             0.08373,            0.090012,                   0,           0.0098713,           0.0098713,           0.0098713
                  28,            0.084816,            0.092677,                   0,             0.33576,             0.57384,              0.4317,             0.14694,            0.078765,            0.083138,                   0,           0.0098664,           0.0098664,           0.0098664
                  29,            0.077026,             0.11368,                   0,             0.54153,             0.67932,             0.64631,             0.25303,            0.071071,            0.092735,                   0,           0.0098614,           0.0098614,           0.0098614
                  30,            0.080019,             0.10147,                   0,             0.43084,             0.60759,             0.51126,             0.19667,            0.083234,            0.080399,                   0,           0.0098565,           0.0098565,           0.0098565
                  31,            0.073039,              0.1003,                   0,             0.35047,             0.54219,             0.40932,             0.14052,             0.07827,             0.11444,                   0,           0.0098515,           0.0098515,           0.0098515
                  32,            0.075947,             0.10464,                   0,             0.60955,              0.6962,             0.72925,             0.28736,            0.063091,             0.07637,                   0,           0.0098466,           0.0098466,           0.0098466
                  33,            0.070998,             0.11434,                   0,             0.39753,              0.7173,              0.5945,             0.27432,            0.072738,             0.10348,                   0,           0.0098416,           0.0098416,           0.0098416
                  34,            0.070432,             0.10546,                   0,             0.61312,             0.77567,             0.72422,             0.36487,            0.060905,            0.075577,                   0,           0.0098367,           0.0098367,           0.0098367
                  35,            0.064096,            0.093394,                   0,             0.55771,             0.72574,             0.61263,             0.23172,            0.079384,             0.10085,                   0,           0.0098317,           0.0098317,           0.0098317
