               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087474,            0.068137,            0.020329,              0.4235,             0.52366,             0.41529,              0.1405,             0.06285,            0.042468,           0.0080694,            0.070294,           0.0033007,           0.0033007
                   1,            0.068948,             0.05646,           0.0071155,             0.39981,             0.64391,             0.41518,              0.1491,             0.05993,             0.03321,           0.0062402,            0.040291,           0.0066307,           0.0066307
                   2,            0.064961,            0.048143,            0.005898,             0.57534,             0.67537,             0.63302,             0.23649,            0.056822,            0.032246,           0.0047318,            0.010284,           0.0099575,           0.0099575
                   3,            0.056369,             0.04772,           0.0051408,             0.56922,             0.76021,             0.59834,             0.24918,            0.053146,            0.033343,           0.0050636,           0.0099851,           0.0099851,           0.0099851
                   4,            0.051695,            0.045541,           0.0040676,             0.81076,             0.78229,             0.82032,             0.38527,            0.044381,              0.0313,           0.0058051,           0.0099851,           0.0099851,           0.0099851
                   5,            0.049573,            0.047008,             0.00366,             0.74751,             0.75241,             0.75587,             0.31552,            0.047705,            0.031841,           0.0044333,           0.0099802,           0.0099802,           0.0099802
                   6,            0.047626,            0.046103,           0.0037092,             0.79623,             0.77535,              0.8151,             0.39768,            0.041983,             0.03164,           0.0055347,           0.0099753,           0.0099753,           0.0099753
                   7,            0.047341,            0.046703,           0.0033369,             0.80025,             0.78499,             0.83537,             0.37828,            0.044243,            0.030468,           0.0051129,           0.0099703,           0.0099703,           0.0099703
                   8,            0.046468,            0.045925,           0.0030076,              0.8131,              0.8053,             0.84525,             0.39702,            0.042685,            0.030106,           0.0052233,           0.0099654,           0.0099654,           0.0099654
                   9,            0.046171,            0.044732,           0.0027708,              0.8258,              0.8073,             0.85272,             0.39173,            0.042575,            0.029649,           0.0045286,           0.0099604,           0.0099604,           0.0099604
                  10,            0.045479,            0.043992,           0.0026482,             0.83668,             0.84859,             0.87746,             0.43748,            0.039717,            0.029108,           0.0041764,           0.0099555,           0.0099555,           0.0099555
                  11,             0.04439,             0.04379,           0.0025039,             0.82727,             0.81234,              0.8594,             0.43296,            0.040181,            0.030278,           0.0046949,           0.0099505,           0.0099505,           0.0099505
                  12,             0.04343,            0.046064,           0.0023946,             0.84846,              0.8323,             0.87125,             0.43843,            0.039692,            0.029492,           0.0047088,           0.0099456,           0.0099456,           0.0099456
                  13,            0.043004,            0.042882,           0.0022608,              0.8276,              0.8271,             0.86036,             0.43008,            0.039847,             0.03045,           0.0048697,           0.0099406,           0.0099406,           0.0099406
                  14,             0.04374,            0.043699,           0.0022124,             0.86729,             0.82979,             0.88849,             0.45448,            0.039227,            0.029544,           0.0035373,           0.0099357,           0.0099357,           0.0099357
