               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08736,            0.070698,            0.020411,              0.3899,             0.49103,             0.34618,             0.10861,            0.067234,            0.040291,           0.0070408,            0.070288,           0.0033013,           0.0033013
                   1,            0.068607,            0.056208,           0.0069401,             0.49172,              0.6707,             0.55528,             0.17537,            0.057824,             0.03321,           0.0049414,            0.040282,            0.006628,            0.006628
                   2,            0.063222,            0.050009,            0.005741,             0.53088,             0.72421,             0.60719,             0.20653,            0.058556,            0.037524,            0.004167,            0.010269,           0.0099482,           0.0099482
                   3,            0.057123,            0.047387,           0.0048228,             0.64952,             0.73892,             0.64265,              0.2462,            0.047874,            0.032176,           0.0036173,           0.0099703,           0.0099703,           0.0099703
                   4,            0.051291,            0.048485,           0.0042311,             0.70671,             0.75052,             0.75411,             0.32217,            0.048486,             0.03315,           0.0049369,           0.0099703,           0.0099703,           0.0099703
                   5,            0.049725,            0.047647,           0.0038205,             0.78603,             0.79002,             0.79555,             0.33332,            0.045826,            0.031753,           0.0031351,           0.0099604,           0.0099604,           0.0099604
                   6,            0.048251,            0.046284,           0.0035233,             0.80725,             0.76249,             0.80112,             0.36313,            0.045119,            0.032007,           0.0033162,           0.0099505,           0.0099505,           0.0099505
                   7,            0.046679,            0.047544,           0.0030782,             0.78302,             0.73214,              0.7639,             0.33539,            0.045861,            0.031533,           0.0029203,           0.0099406,           0.0099406,           0.0099406
                   8,            0.046465,            0.045861,           0.0029554,             0.81959,             0.78711,             0.83137,             0.38501,            0.043632,            0.031091,           0.0032152,           0.0099307,           0.0099307,           0.0099307
                   9,            0.044542,            0.046155,           0.0027611,             0.83117,             0.80148,             0.83079,             0.38296,            0.042507,            0.031356,           0.0033515,           0.0099208,           0.0099208,           0.0099208
                  10,            0.044739,            0.045274,           0.0027882,             0.80497,             0.80502,             0.82242,             0.37488,            0.044566,            0.030847,           0.0028622,           0.0099109,           0.0099109,           0.0099109
                  11,            0.043434,            0.045147,            0.002483,             0.84731,             0.82442,             0.85689,             0.40791,            0.041782,            0.030436,            0.002341,            0.009901,            0.009901,            0.009901
                  12,            0.043936,             0.04586,           0.0023776,             0.81782,             0.82956,             0.83944,             0.39643,            0.042446,            0.030822,           0.0028874,           0.0098911,           0.0098911,           0.0098911
                  13,             0.04291,            0.043721,           0.0020963,             0.83511,             0.79276,             0.82492,             0.39241,            0.041666,            0.030769,           0.0026497,           0.0098812,           0.0098812,           0.0098812
                  14,            0.042906,            0.044905,           0.0022725,             0.80794,             0.81165,             0.83438,             0.40327,            0.042403,            0.030927,           0.0039489,           0.0098713,           0.0098713,           0.0098713
                  15,            0.042236,            0.042064,           0.0023338,             0.84017,             0.82916,             0.84507,             0.40818,            0.042035,            0.030726,           0.0024574,           0.0098614,           0.0098614,           0.0098614
                  16,            0.041616,            0.044263,           0.0017485,             0.84134,             0.82859,              0.8554,             0.41185,            0.041566,            0.030201,           0.0028058,           0.0098515,           0.0098515,           0.0098515
                  17,             0.04179,            0.043071,           0.0020126,             0.85045,             0.82124,              0.8533,             0.42043,            0.041613,             0.03067,           0.0027654,           0.0098416,           0.0098416,           0.0098416
                  18,            0.041459,            0.042557,           0.0016372,              0.8261,             0.81977,             0.82924,             0.40343,             0.04157,            0.031997,           0.0035972,           0.0098317,           0.0098317,           0.0098317
                  19,            0.041227,            0.043764,           0.0017864,             0.84069,             0.84587,             0.85214,             0.41263,            0.041515,            0.030502,           0.0027305,           0.0098218,           0.0098218,           0.0098218
                  20,             0.04184,              0.0438,           0.0016656,             0.83126,             0.83718,             0.85168,             0.41575,            0.041628,            0.030591,           0.0030796,           0.0098119,           0.0098119,           0.0098119
                  21,            0.040631,            0.041796,           0.0017272,             0.84877,             0.85866,             0.85877,             0.43089,             0.04065,            0.030576,           0.0023294,            0.009802,            0.009802,            0.009802
                  22,            0.040178,            0.041427,           0.0015207,             0.85264,             0.81604,             0.85607,             0.42665,            0.041349,             0.03102,           0.0028703,           0.0097921,           0.0097921,           0.0097921
