               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087474,            0.068137,            0.020329,              0.4235,             0.52366,             0.41529,              0.1405,             0.06285,            0.042468,           0.0080694,            0.070294,           0.0033007,           0.0033007
                   1,            0.068906,            0.056442,           0.0071327,             0.39905,             0.62254,             0.40987,             0.14991,            0.059993,            0.033817,           0.0059039,            0.040288,           0.0066274,           0.0066274
                   2,            0.064171,            0.048424,           0.0059614,             0.48318,             0.67317,             0.56054,             0.23176,            0.053895,            0.033213,           0.0055496,            0.010274,           0.0099476,           0.0099476
                   3,            0.056985,            0.047817,            0.005212,              0.5411,             0.73906,             0.59052,             0.24948,            0.050042,            0.031295,           0.0048786,           0.0099703,           0.0099703,           0.0099703
                   4,            0.051766,            0.045537,           0.0042129,             0.71839,             0.80365,              0.7884,             0.34988,            0.045634,            0.031491,           0.0065855,           0.0099703,           0.0099703,           0.0099703
                   5,            0.049641,            0.047281,           0.0038105,             0.75568,             0.74234,             0.76101,             0.32171,            0.051016,            0.030647,           0.0043511,           0.0099604,           0.0099604,           0.0099604
                   6,            0.048305,            0.045773,           0.0035305,             0.81554,             0.81228,             0.85053,             0.39958,            0.042703,            0.030184,           0.0045975,           0.0099505,           0.0099505,           0.0099505
                   7,            0.047273,            0.046142,            0.003225,             0.79368,             0.79741,             0.83236,             0.38024,            0.043453,             0.03025,           0.0055629,           0.0099406,           0.0099406,           0.0099406
                   8,            0.046046,             0.04582,           0.0029517,             0.84298,             0.80218,             0.85396,             0.41513,            0.040856,            0.029933,           0.0046608,           0.0099307,           0.0099307,           0.0099307
                   9,            0.046038,             0.04469,           0.0027573,             0.81748,              0.8276,              0.8516,             0.40431,            0.042293,            0.029744,           0.0049797,           0.0099208,           0.0099208,           0.0099208
