               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087234,            0.070665,            0.020352,             0.35404,             0.52398,             0.30797,            0.097494,            0.064148,            0.042564,           0.0071421,            0.070288,           0.0033013,           0.0033013
                   1,            0.069203,            0.056132,           0.0069507,             0.46409,             0.63778,             0.48847,             0.17443,            0.066444,            0.031616,            0.004915,            0.040288,            0.006634,            0.006634
                   2,            0.063031,            0.050053,           0.0057936,             0.49746,             0.66939,              0.5665,             0.22671,            0.053713,            0.032646,           0.0041785,            0.010286,            0.009966,            0.009966
                   3,            0.056913,            0.047402,           0.0048774,             0.64517,             0.76086,             0.64712,             0.26135,             0.04791,            0.032448,           0.0036672,            0.009997,            0.009997,            0.009997
                   4,            0.051206,            0.047868,           0.0041594,             0.70702,             0.76419,             0.74269,             0.31347,            0.046733,            0.031714,           0.0037403,            0.009997,            0.009997,            0.009997
                   5,            0.049311,            0.047219,           0.0036264,             0.79802,             0.79028,             0.80479,             0.34444,            0.045477,            0.031429,           0.0033838,            0.009996,            0.009996,            0.009996
                   6,            0.048643,             0.04588,           0.0036238,             0.77884,             0.77223,              0.7922,             0.33727,            0.046904,             0.03238,           0.0032188,           0.0099951,           0.0099951,           0.0099951
                   7,            0.046863,            0.047556,           0.0031879,             0.72699,             0.73947,             0.74445,             0.32918,            0.047878,            0.032122,           0.0031247,           0.0099941,           0.0099941,           0.0099941
                   8,            0.046272,             0.04569,           0.0030222,              0.8078,             0.79567,             0.82086,             0.38591,            0.042943,            0.031103,           0.0029993,           0.0099931,           0.0099931,           0.0099931
                   9,            0.045225,            0.046201,            0.002917,             0.81641,             0.78737,             0.81143,             0.36753,            0.043125,            0.031734,           0.0028543,           0.0099921,           0.0099921,           0.0099921
