               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12431,             0.16826,                   0,           0.0010526,            0.012658,          0.00066165,          0.00013257,             0.11852,            0.099983,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11902,             0.16211,                   0,            0.012982,             0.15612,            0.019609,           0.0034708,             0.11003,              0.1114,                   0,            0.088299,           0.0012994,           0.0012994
                   2,             0.11472,             0.16534,                   0,            0.089084,             0.22785,            0.048276,           0.0094743,             0.10861,             0.10709,                   0,            0.081998,            0.001998,            0.001998
                   3,             0.10887,             0.13213,                   0,             0.14036,             0.29747,            0.086005,            0.018827,             0.10172,             0.16337,                   0,            0.075696,            0.002696,            0.002696
                   4,             0.10378,             0.13812,                   0,             0.20935,             0.57173,             0.20038,            0.054054,            0.098555,             0.17633,                   0,            0.069393,           0.0033933,           0.0033933
                   5,             0.10174,             0.10705,                   0,             0.31403,             0.40506,             0.27611,            0.073321,            0.090607,             0.12515,                   0,             0.06309,           0.0040899,           0.0040899
                   6,            0.093649,             0.11943,                   0,              0.2549,             0.42827,             0.28193,            0.075132,            0.096281,             0.14508,                   0,            0.056786,           0.0047857,           0.0047857
                   7,            0.092041,             0.12555,                   0,             0.27656,             0.37553,             0.25818,            0.069327,            0.099909,             0.11099,                   0,            0.050481,           0.0054809,           0.0054809
                   8,            0.092872,             0.13411,                   0,             0.45201,             0.52554,             0.45247,             0.13509,            0.092528,             0.10786,                   0,            0.044175,           0.0061754,           0.0061754
                   9,            0.093172,             0.12948,                   0,             0.53203,             0.68565,             0.60697,             0.16781,             0.08774,            0.090469,                   0,            0.037869,           0.0068693,           0.0068693
                  10,            0.095126,             0.11341,                   0,             0.49855,             0.49156,             0.50909,             0.19817,            0.078656,            0.096436,                   0,            0.031562,           0.0075624,           0.0075624
                  11,            0.084781,              0.1331,                   0,              0.3168,             0.49991,             0.35331,            0.093185,             0.07772,             0.10406,                   0,            0.025255,           0.0082548,           0.0082548
                  12,            0.093071,             0.12271,                   0,              0.2523,             0.50211,             0.20833,            0.069796,             0.10386,            0.084618,                   0,            0.018947,           0.0089465,           0.0089465
                  13,            0.094983,            0.099444,                   0,             0.36187,             0.39451,             0.29602,            0.086998,             0.10215,            0.092232,                   0,            0.012638,           0.0096376,           0.0096376
                  14,            0.088552,             0.13995,                   0,             0.55324,             0.64791,             0.62619,             0.21785,            0.071919,             0.10412,                   0,           0.0099307,           0.0099307,           0.0099307
