               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12431,             0.16826,                   0,           0.0010526,            0.012658,          0.00066165,          0.00013257,             0.11852,            0.099983,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11903,              0.1621,                   0,            0.012456,             0.14979,            0.019249,           0.0034744,             0.11002,             0.11134,                   0,              0.0883,           0.0012999,           0.0012999
                   2,             0.11472,             0.16531,                   0,            0.091634,             0.23418,            0.049749,           0.0096647,             0.10844,             0.10719,                   0,               0.082,           0.0019996,           0.0019996
                   3,             0.10878,              0.1321,                   0,             0.14218,             0.30591,            0.094209,            0.020382,             0.10189,             0.16414,                   0,            0.075699,           0.0026992,           0.0026992
                   4,             0.10398,             0.13808,                   0,             0.22169,             0.57806,             0.21333,            0.058561,            0.098706,             0.18059,                   0,            0.069399,           0.0033987,           0.0033987
                   5,             0.10034,             0.10745,                   0,             0.29854,             0.51688,             0.31268,             0.08562,            0.084942,             0.12535,                   0,            0.063098,            0.004098,            0.004098
                   6,            0.094741,             0.11828,                   0,             0.23684,             0.44726,             0.28463,            0.081128,            0.099831,             0.14692,                   0,            0.056797,           0.0047971,           0.0047971
                   7,            0.094954,             0.12452,                   0,             0.31268,             0.50633,             0.37069,             0.10136,            0.095456,             0.10867,                   0,            0.050496,           0.0054962,           0.0054962
                   8,            0.091562,             0.13536,                   0,             0.34764,             0.53165,             0.35747,             0.10881,            0.086072,             0.10032,                   0,            0.044195,           0.0061951,           0.0061951
                   9,            0.095519,             0.13625,                   0,             0.28428,             0.60549,             0.31076,            0.099647,            0.095759,              0.1168,                   0,            0.037894,           0.0068939,           0.0068939
                  10,            0.093054,             0.11827,                   0,             0.44681,             0.46689,             0.43325,             0.13982,            0.091518,             0.10322,                   0,            0.031592,           0.0075925,           0.0075925
                  11,            0.084858,             0.12644,                   0,             0.32746,             0.60914,             0.31975,             0.11139,            0.080827,            0.084854,                   0,            0.025291,            0.008291,            0.008291
