               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094635,            0.045981,            0.022115,             0.37748,             0.49209,             0.40222,             0.14305,            0.065557,            0.025578,            0.015959,             0.07004,           0.0033288,           0.0033288
                   1,            0.071599,            0.043263,            0.011138,             0.39987,              0.5673,             0.45822,             0.16007,            0.062135,            0.021987,           0.0090292,            0.040018,           0.0066402,           0.0066402
                   2,            0.066906,            0.039421,           0.0085786,              0.5042,              0.7075,             0.58223,             0.21334,            0.057574,            0.021135,           0.0072148,           0.0099744,           0.0099295,           0.0099295
                   3,            0.060904,            0.037812,           0.0076346,             0.58006,             0.71374,             0.61905,              0.2591,            0.054402,            0.020922,           0.0064551,            0.009901,            0.009901,            0.009901
                   4,            0.055977,            0.038305,           0.0068207,             0.73017,              0.7726,             0.77163,              0.3585,            0.047681,            0.020749,           0.0057017,            0.009901,            0.009901,            0.009901
                   5,            0.054552,             0.03678,           0.0063965,             0.77073,             0.77183,             0.79675,              0.3733,            0.047554,            0.020706,           0.0063097,            0.009868,            0.009868,            0.009868
                   6,            0.053996,            0.037163,           0.0061549,             0.79584,             0.79881,             0.81629,             0.37445,            0.046843,            0.020638,           0.0055005,            0.009835,            0.009835,            0.009835
                   7,            0.051962,            0.036468,           0.0054787,             0.78988,             0.79117,             0.81227,             0.39856,            0.045586,            0.019903,           0.0048802,            0.009802,            0.009802,            0.009802
                   8,            0.050889,            0.036514,           0.0056344,             0.79766,             0.79513,             0.83863,             0.40993,            0.044294,            0.020195,           0.0050923,            0.009769,            0.009769,            0.009769
                   9,            0.050721,            0.035608,           0.0060599,             0.77766,             0.79556,             0.82807,             0.39735,            0.046163,            0.019989,           0.0053937,            0.009736,            0.009736,            0.009736
                  10,            0.049449,            0.034512,           0.0051062,             0.79006,             0.80523,             0.82551,             0.40499,             0.04483,            0.019794,           0.0052112,            0.009703,            0.009703,            0.009703
                  11,            0.048863,            0.035809,            0.005092,             0.80994,             0.79747,             0.85412,             0.42637,            0.043579,            0.019516,           0.0058866,             0.00967,             0.00967,             0.00967
                  12,            0.048599,            0.035536,           0.0046134,             0.81716,             0.81785,             0.85105,             0.42723,            0.044511,            0.019578,           0.0044162,            0.009637,            0.009637,            0.009637
                  13,            0.047659,             0.03476,           0.0048722,             0.79446,             0.80468,             0.82639,             0.39358,            0.046363,            0.019489,           0.0043647,            0.009604,            0.009604,            0.009604
                  14,            0.047258,            0.034596,           0.0048204,               0.807,             0.80996,             0.84642,             0.43526,            0.042857,            0.019341,           0.0049151,            0.009571,            0.009571,            0.009571
                  15,            0.047554,            0.035596,             0.00452,             0.81481,             0.80679,             0.85856,             0.43396,            0.042818,            0.019441,            0.004842,            0.009538,            0.009538,            0.009538
