               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09633,            0.042453,            0.022386,             0.18784,             0.50484,             0.15409,            0.047942,             0.06807,            0.041374,            0.018271,              0.0706,           0.0032667,           0.0032667
                   1,            0.071746,            0.037642,           0.0097188,             0.41871,             0.49574,             0.44859,             0.16875,            0.064221,            0.018178,           0.0062886,            0.040599,           0.0065993,           0.0065993
                   2,            0.071008,            0.034043,           0.0070589,             0.50622,             0.60067,             0.55695,             0.20513,            0.056968,            0.018622,           0.0053921,            0.010598,           0.0099314,           0.0099314
                   3,            0.062304,            0.032638,           0.0058984,             0.60413,             0.74571,             0.64019,             0.22092,            0.054744,            0.019416,           0.0049065,            0.009997,            0.009997,            0.009997
                   4,            0.055814,            0.032475,           0.0050113,             0.78538,             0.78801,             0.79702,             0.36026,            0.044785,            0.016767,           0.0053438,            0.009997,            0.009997,            0.009997
                   5,            0.053679,            0.032229,           0.0043082,             0.74747,             0.78209,             0.79813,             0.36825,            0.043954,            0.016931,           0.0080167,            0.009996,            0.009996,            0.009996
                   6,            0.051628,            0.031069,           0.0041744,              0.7564,             0.76108,             0.77446,             0.34664,            0.044269,            0.016629,           0.0055262,           0.0099951,           0.0099951,           0.0099951
                   7,            0.050809,            0.031515,           0.0040778,             0.75704,             0.78831,             0.80246,             0.38099,            0.042069,            0.016199,           0.0066858,           0.0099941,           0.0099941,           0.0099941
                   8,            0.050415,             0.03174,           0.0038348,                0.77,             0.76792,             0.80186,             0.39938,            0.040859,            0.015856,           0.0072983,           0.0099931,           0.0099931,           0.0099931
                   9,            0.048077,            0.030691,           0.0038813,             0.82817,             0.83283,             0.85973,             0.43272,            0.038784,            0.015189,           0.0040855,           0.0099921,           0.0099921,           0.0099921
                  10,            0.048161,            0.030398,           0.0034699,             0.80752,             0.82613,              0.8467,             0.41905,            0.040588,            0.015505,           0.0044619,           0.0099911,           0.0099911,           0.0099911
                  11,            0.047447,            0.029412,           0.0036614,             0.82114,             0.81741,             0.84612,             0.42628,            0.039612,            0.015275,           0.0046937,           0.0099901,           0.0099901,           0.0099901
                  12,            0.046897,            0.028899,           0.0029961,             0.83007,             0.83432,             0.86333,             0.43273,            0.039437,            0.015172,           0.0044125,           0.0099891,           0.0099891,           0.0099891
                  13,             0.04719,            0.029506,            0.002904,             0.82941,             0.83009,             0.86583,             0.42345,            0.039275,            0.015203,           0.0044205,           0.0099881,           0.0099881,           0.0099881
                  14,            0.046186,            0.028426,            0.002828,             0.84088,             0.84333,             0.88204,             0.44236,            0.038113,            0.014978,            0.003452,           0.0099871,           0.0099871,           0.0099871
                  15,             0.04586,            0.028815,           0.0028737,             0.83452,             0.84437,             0.87128,             0.43769,             0.03871,             0.01471,           0.0035338,           0.0099861,           0.0099861,           0.0099861
                  16,            0.045673,            0.029305,           0.0027758,             0.86056,             0.81881,             0.86884,             0.44933,            0.037877,            0.015056,           0.0040348,           0.0099851,           0.0099851,           0.0099851
                  17,            0.044866,            0.028261,           0.0026861,             0.83923,              0.8096,             0.86063,             0.44308,            0.037984,            0.015073,            0.003855,           0.0099842,           0.0099842,           0.0099842
                  18,            0.045396,            0.028778,           0.0024368,              0.8273,             0.82982,             0.85613,             0.43709,            0.038898,            0.014837,           0.0040679,           0.0099832,           0.0099832,           0.0099832
                  19,            0.044612,            0.028023,             0.00259,             0.85125,             0.81885,              0.8651,              0.4411,            0.038213,            0.015033,           0.0045375,           0.0099822,           0.0099822,           0.0099822
                  20,            0.044615,            0.027677,           0.0026851,             0.84895,             0.83738,             0.87095,              0.4519,              0.0387,             0.01477,            0.004404,           0.0099812,           0.0099812,           0.0099812
