               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094488,            0.044577,            0.021242,             0.32231,             0.47531,             0.31161,              0.1002,            0.060987,            0.045067,            0.012405,              0.0706,           0.0032667,           0.0032667
                   1,            0.071128,            0.037112,           0.0087618,             0.39582,             0.49235,             0.43615,             0.17211,            0.066748,            0.018171,           0.0062955,            0.040599,           0.0065993,           0.0065993
                   2,            0.068903,             0.03369,           0.0066386,             0.47737,             0.65639,              0.5251,             0.18103,            0.059496,            0.017196,           0.0056693,            0.010598,           0.0099314,           0.0099314
                   3,            0.061025,            0.031777,           0.0057324,             0.58255,             0.76826,             0.66975,             0.30142,            0.047607,            0.016718,           0.0057488,            0.009997,            0.009997,            0.009997
                   4,            0.055736,            0.031873,           0.0049057,             0.76256,             0.73945,             0.77092,             0.32798,            0.045491,            0.016038,           0.0055298,            0.009997,            0.009997,            0.009997
                   5,            0.052977,            0.031595,           0.0042975,             0.78449,             0.79435,             0.83119,             0.41088,            0.041903,            0.015452,            0.005722,            0.009996,            0.009996,            0.009996
                   6,             0.05105,            0.030538,           0.0040859,             0.82382,             0.79825,             0.84479,             0.40543,            0.041624,            0.015476,           0.0048517,           0.0099951,           0.0099951,           0.0099951
                   7,            0.050401,            0.031119,           0.0038439,              0.7625,             0.76935,             0.81912,             0.39915,            0.041086,            0.015982,           0.0074563,           0.0099941,           0.0099941,           0.0099941
                   8,            0.049523,            0.031166,           0.0037599,             0.81379,             0.83883,             0.84035,             0.42078,            0.039032,            0.015026,           0.0044073,           0.0099931,           0.0099931,           0.0099931
                   9,            0.047907,             0.03037,           0.0038318,             0.83926,             0.80638,             0.87355,             0.42742,            0.039194,            0.015024,           0.0035535,           0.0099921,           0.0099921,           0.0099921
                  10,            0.047375,             0.02999,           0.0033593,             0.83134,             0.81336,             0.85511,             0.42545,            0.038936,            0.015093,           0.0038417,           0.0099911,           0.0099911,           0.0099911
                  11,            0.046982,            0.028943,           0.0032718,             0.80832,             0.81975,             0.85665,             0.41943,            0.039583,            0.015632,           0.0048689,           0.0099901,           0.0099901,           0.0099901
                  12,            0.046313,            0.028423,           0.0027898,             0.82799,             0.80344,             0.85345,             0.40896,             0.04103,            0.014708,            0.004493,           0.0099891,           0.0099891,           0.0099891
                  13,            0.046959,            0.028976,           0.0027102,             0.85148,             0.78731,             0.86044,              0.4242,            0.040003,            0.015514,           0.0043772,           0.0099881,           0.0099881,           0.0099881
                  14,              0.0456,             0.02789,           0.0025578,             0.84741,             0.85654,             0.87707,             0.45261,            0.037856,            0.014778,           0.0031863,           0.0099871,           0.0099871,           0.0099871
                  15,            0.045235,              0.0285,           0.0027937,             0.84692,             0.78524,              0.8566,             0.43979,            0.038738,            0.015438,           0.0036806,           0.0099861,           0.0099861,           0.0099861
                  16,            0.045255,            0.028929,           0.0025952,             0.86162,             0.80928,             0.86798,              0.4495,            0.038368,            0.015273,           0.0037814,           0.0099851,           0.0099851,           0.0099851
                  17,            0.044689,             0.02774,           0.0023891,             0.83345,             0.84813,             0.86913,             0.46169,            0.037145,            0.014843,           0.0037458,           0.0099842,           0.0099842,           0.0099842
                  18,            0.044848,            0.028346,           0.0021154,             0.80427,             0.80989,             0.83758,             0.41166,            0.040243,            0.015044,           0.0061677,           0.0099832,           0.0099832,           0.0099832
                  19,            0.044312,            0.027483,           0.0024878,             0.84083,             0.82752,              0.8743,             0.44245,            0.038553,            0.014932,           0.0045734,           0.0099822,           0.0099822,           0.0099822
                  20,            0.043935,            0.027069,           0.0024868,             0.86013,             0.81681,             0.87536,             0.45974,            0.039057,            0.015079,            0.003631,           0.0099812,           0.0099812,           0.0099812
                  21,             0.04427,            0.028601,            0.002421,             0.86252,             0.81878,             0.88069,             0.45955,            0.037366,            0.014783,           0.0040943,           0.0099802,           0.0099802,           0.0099802
                  22,            0.043423,            0.028222,           0.0021388,             0.83522,             0.83508,             0.87561,             0.45305,            0.037546,            0.014949,            0.003791,           0.0099792,           0.0099792,           0.0099792
                  23,            0.043148,            0.027481,           0.0020393,             0.85259,             0.83665,               0.879,             0.45781,             0.03751,            0.014717,           0.0037909,           0.0099782,           0.0099782,           0.0099782
                  24,            0.043877,             0.02808,           0.0019829,             0.84687,             0.85205,               0.887,             0.46169,            0.037548,            0.014834,           0.0040006,           0.0099772,           0.0099772,           0.0099772
                  25,            0.043001,            0.027499,           0.0018314,             0.84578,             0.82985,             0.88275,             0.47098,            0.037126,            0.014534,           0.0038974,           0.0099762,           0.0099762,           0.0099762
