               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08137,            0.061767,            0.019784,             0.45185,              0.5007,             0.46591,             0.18671,             0.05595,            0.032978,           0.0097417,            0.070303,           0.0032997,           0.0032997
                   1,            0.063663,            0.048955,           0.0081063,             0.56818,             0.66832,             0.57699,             0.21486,            0.054926,             0.02352,            0.006841,            0.040302,           0.0066323,           0.0066323
                   2,            0.059263,            0.045168,           0.0063608,             0.43498,             0.77651,             0.50932,             0.22064,             0.05063,            0.022222,           0.0056233,            0.010301,           0.0099644,           0.0099644
                   3,            0.052723,            0.042117,           0.0054225,             0.76731,             0.80829,             0.80693,             0.34738,            0.042681,            0.021746,           0.0049138,            0.009997,            0.009997,            0.009997
                   4,            0.048013,            0.042115,           0.0047619,             0.73735,             0.79667,             0.81159,             0.41614,            0.038149,            0.023035,            0.010592,            0.009997,            0.009997,            0.009997
                   5,            0.045923,            0.042254,           0.0041037,             0.79361,             0.82453,             0.84281,               0.427,            0.037338,             0.02219,            0.008298,            0.009996,            0.009996,            0.009996
                   6,            0.044424,            0.040754,           0.0039825,              0.8016,             0.82109,             0.83821,             0.42811,             0.03585,            0.022542,           0.0058677,           0.0099951,           0.0099951,           0.0099951
                   7,            0.042876,            0.041349,           0.0039191,             0.81312,             0.82277,             0.83807,             0.41884,            0.039493,            0.022375,           0.0044263,           0.0099941,           0.0099941,           0.0099941
                   8,            0.043439,            0.041959,           0.0035498,             0.83965,             0.84108,             0.87776,             0.46049,            0.035613,            0.021146,           0.0060636,           0.0099931,           0.0099931,           0.0099931
                   9,            0.041943,            0.040151,           0.0031045,             0.82203,             0.81975,             0.85122,             0.43436,            0.037232,            0.022098,           0.0056732,           0.0099921,           0.0099921,           0.0099921
                  10,            0.040949,            0.039873,           0.0030673,             0.83681,              0.8123,             0.86212,             0.43089,            0.036685,            0.021332,           0.0048477,           0.0099911,           0.0099911,           0.0099911
                  11,            0.040881,            0.039335,            0.002938,             0.84564,             0.84096,             0.87828,             0.45239,            0.035859,            0.021285,           0.0062527,           0.0099901,           0.0099901,           0.0099901
                  12,            0.039788,            0.038308,           0.0026009,             0.85069,             0.87561,             0.89785,             0.45937,            0.035716,            0.021593,           0.0040559,           0.0099891,           0.0099891,           0.0099891
                  13,            0.039818,            0.039246,           0.0026629,             0.84311,             0.84292,             0.88375,             0.45962,            0.035866,            0.021056,           0.0060152,           0.0099881,           0.0099881,           0.0099881
