               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13314,             0.24487,            0.026417,           0.0018519,           0.0015182,          0.00094139,           0.0001597,             0.13019,             0.24766,            0.027393,              0.0964,              0.0004,              0.0004
                   1,             0.13064,             0.22384,            0.024998,            0.014503,            0.010628,            0.010326,           0.0027744,             0.12755,              0.2352,            0.024399,            0.091897,          0.00089703,          0.00089703
                   2,             0.12781,             0.22298,            0.022296,           0.0044444,           0.0030364,           0.0022367,          0.00052531,              0.1309,              0.2499,            0.021948,            0.087391,           0.0013908,           0.0013908
                   3,             0.12616,             0.22316,            0.019138,           0.0072324,           0.0075911,            0.003682,          0.00083055,             0.12709,             0.33859,            0.020126,            0.082881,           0.0018812,           0.0018812
                   4,             0.12508,             0.18482,            0.016698,             0.04786,            0.032895,             0.02114,           0.0053132,             0.12291,             0.26826,            0.017007,            0.078368,           0.0023683,           0.0023683
                   5,             0.11964,             0.21202,            0.014638,            0.081993,            0.068826,            0.057485,            0.012757,             0.12286,             0.42495,            0.014766,            0.073852,           0.0028522,           0.0028522
                   6,             0.11682,             0.20609,            0.012286,             0.63225,             0.07917,            0.062546,             0.01705,             0.11462,             0.44735,            0.012712,            0.069333,           0.0033327,           0.0033327
                   7,             0.11246,             0.20504,            0.010501,             0.63157,             0.11842,            0.082187,            0.022848,             0.11315,             0.35959,            0.012017,             0.06481,           0.0038099,           0.0038099
                   8,             0.11108,             0.21835,           0.0095566,             0.60203,             0.15688,            0.070541,            0.020621,             0.10861,             0.51929,            0.011984,            0.060284,           0.0042838,           0.0042838
                   9,             0.11042,             0.21186,           0.0083837,             0.65629,             0.15833,               0.117,            0.033773,             0.10953,              0.4889,            0.012206,            0.055754,           0.0047545,           0.0047545
                  10,            0.097522,             0.22152,           0.0090328,             0.61236,             0.19484,            0.092461,            0.026008,             0.10488,             0.51596,            0.012375,            0.051222,           0.0052218,           0.0052218
                  11,             0.10292,             0.21242,           0.0077459,             0.65013,             0.19304,             0.13302,            0.039417,             0.10689,             0.55203,            0.012445,            0.046686,           0.0056858,           0.0056858
                  12,             0.10269,             0.21143,           0.0088728,             0.59847,             0.17004,            0.091505,            0.023414,             0.10136,             0.31779,             0.01238,            0.042147,           0.0061466,           0.0061466
                  13,            0.099202,             0.25376,           0.0087885,             0.67108,             0.23026,             0.17887,            0.059171,             0.10091,             0.62802,            0.012206,            0.037604,            0.006604,            0.006604
                  14,            0.096516,             0.24695,           0.0078743,             0.65147,              0.2247,              0.1586,            0.053506,             0.10391,             0.64002,            0.011937,            0.033058,           0.0070581,           0.0070581
                  15,            0.097689,             0.24125,           0.0087316,              0.6802,             0.21702,             0.19354,            0.055427,            0.091559,             0.28844,            0.011293,            0.028509,           0.0075089,           0.0075089
                  16,             0.10271,             0.23403,           0.0080282,             0.14596,             0.23316,            0.069505,            0.017597,             0.10097,             0.28448,            0.011637,            0.023956,           0.0079565,           0.0079565
                  17,             0.10078,             0.25499,           0.0079727,             0.70305,             0.25152,             0.21803,            0.070664,             0.10805,             0.50959,            0.011151,            0.019401,           0.0084007,           0.0084007
                  18,             0.10049,             0.26861,           0.0073339,             0.56138,             0.18269,            0.048157,            0.014808,            0.098113,             0.32327,            0.010766,            0.014842,           0.0088416,           0.0088416
                  19,            0.098894,             0.24929,           0.0077879,             0.68174,             0.23532,             0.20638,            0.060989,             0.10614,             0.32269,            0.010459,            0.010279,           0.0092793,           0.0092793
                  20,             0.10504,             0.23542,           0.0075668,             0.16062,             0.25101,             0.16916,              0.0498,             0.10454,             0.38552,            0.010402,             0.00934,             0.00934,             0.00934
                  21,            0.098266,             0.26777,           0.0073025,             0.74429,             0.23128,             0.26867,            0.085735,            0.092006,             0.27511,             0.01009,             0.00934,             0.00934,             0.00934
                  22,            0.091927,              0.2579,           0.0081403,             0.64615,             0.21964,                0.17,            0.051167,            0.094637,             0.52649,            0.010498,            0.009307,            0.009307,            0.009307
                  23,            0.089159,             0.26089,           0.0076551,             0.74467,               0.258,             0.26592,            0.079203,             0.09325,             0.53812,            0.010698,            0.009274,            0.009274,            0.009274
                  24,            0.090079,             0.29669,           0.0077401,             0.20549,             0.39492,               0.228,            0.072191,            0.093777,             0.27306,            0.010119,            0.009241,            0.009241,            0.009241
                  25,            0.093126,             0.26394,            0.007035,             0.73918,             0.26619,             0.30047,             0.10372,            0.093606,             0.46364,            0.010289,            0.009208,            0.009208,            0.009208
                  26,            0.093033,             0.26702,           0.0068956,             0.22774,             0.45145,             0.30778,             0.10896,            0.083904,             0.25143,           0.0097256,            0.009175,            0.009175,            0.009175
                  27,            0.090563,             0.26769,           0.0067235,             0.24199,             0.43792,             0.29444,             0.10353,            0.093385,             0.26281,            0.009692,            0.009142,            0.009142,            0.009142
                  28,             0.08733,             0.24234,           0.0066905,             0.25121,             0.44617,             0.26872,            0.095799,            0.091469,             0.42865,           0.0098495,            0.009109,            0.009109,            0.009109
                  29,            0.087152,             0.23732,           0.0073232,             0.25125,             0.46602,              0.3018,             0.10326,            0.084695,              0.2546,           0.0094837,            0.009076,            0.009076,            0.009076
                  30,             0.08845,             0.26091,           0.0064898,             0.25531,              0.4797,              0.3447,             0.12967,            0.092095,             0.39721,           0.0096424,            0.009043,            0.009043,            0.009043
                  31,             0.08119,             0.27862,           0.0068844,             0.25429,             0.44182,             0.29201,             0.10777,            0.087708,             0.40527,            0.009798,             0.00901,             0.00901,             0.00901
                  32,            0.085494,             0.25197,           0.0065776,             0.31984,             0.49014,             0.38455,              0.1538,            0.081825,             0.24597,           0.0093632,            0.008977,            0.008977,            0.008977
                  33,            0.084587,             0.24387,           0.0060469,             0.75375,             0.29411,             0.34647,             0.12628,            0.094953,             0.32944,           0.0099545,            0.008944,            0.008944,            0.008944
                  34,            0.092859,             0.25259,            0.006324,                0.26,             0.48908,             0.34896,             0.12432,            0.090426,             0.28039,           0.0099583,            0.008911,            0.008911,            0.008911
                  35,            0.083245,             0.24926,           0.0070621,             0.26444,             0.44154,             0.32931,             0.13065,             0.10416,             0.36946,           0.0097946,            0.008878,            0.008878,            0.008878
                  36,             0.10271,             0.25198,           0.0062233,             0.32668,             0.48206,             0.38926,             0.15901,            0.097444,              0.2407,           0.0095379,            0.008845,            0.008845,            0.008845
                  37,            0.093661,             0.26216,           0.0068538,             0.30408,             0.49261,             0.40069,             0.15687,            0.088365,             0.32795,            0.010006,            0.008812,            0.008812,            0.008812
                  38,            0.093203,             0.24977,           0.0066978,             0.27672,             0.46804,             0.28934,             0.11199,            0.092909,             0.25257,           0.0098495,            0.008779,            0.008779,            0.008779
                  39,            0.087188,             0.24323,           0.0068806,              0.2797,             0.49226,             0.29135,             0.11049,            0.086684,             0.23937,           0.0089638,            0.008746,            0.008746,            0.008746
                  40,            0.088263,             0.24665,           0.0065762,             0.46212,             0.44623,             0.44542,             0.17585,            0.080982,             0.27859,           0.0097641,            0.008713,            0.008713,            0.008713
                  41,            0.091361,             0.22106,           0.0059813,             0.25594,             0.45698,             0.35145,             0.13623,             0.10113,             0.24213,             0.00895,             0.00868,             0.00868,             0.00868
                  42,            0.086622,             0.23195,           0.0058509,             0.44003,             0.38953,             0.39142,             0.12923,            0.084427,                0.28,           0.0098602,            0.008647,            0.008647,            0.008647
                  43,            0.083199,             0.24761,           0.0063332,             0.31744,              0.4842,             0.31704,             0.12406,             0.09293,             0.25428,           0.0087944,            0.008614,            0.008614,            0.008614
                  44,            0.094329,             0.23381,           0.0059314,             0.33575,             0.51659,             0.39723,             0.17001,            0.087684,             0.25042,            0.009145,            0.008581,            0.008581,            0.008581
                  45,             0.08916,             0.21461,           0.0064569,             0.35984,             0.50853,             0.43485,             0.16234,            0.083461,             0.25464,           0.0089283,            0.008548,            0.008548,            0.008548
